Name,Category,Brand,ImageURL,Code,Barcode
LA FINCA ACHIOTE MOLIDO 12/ 4 OZ CJ 6,Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/82_5217,82,810118991004
LA FINCA ARROZ GRANO LARGO 20/1 LB,Granos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/571_3367.jpg,571,8101189934598
LA FINCA ARROZ GRANO LARGO 5/4 LB,Granos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/572_3368.jpg,572,8101189924766
LA FINCA CHAMPURRADA TRADICIONAL 10 UDS/15 OZ CJ 12 PACK,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/154_5383,154,810118992537
LA FINCA CHICHARRON BOTANERO 12/6 OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/222_6117,222,810118991264
LA FINCA CHICHARRON BOTANERO 36/2.5oz,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/217_6108,217,810118992841
LA FINCA CHICHARRON BOTANERO CON CHILE 36/2.5oz,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/218_6109,218,810118992858
LA FINCA CHICHARRON GRANDE 11 PC 12/9.02 OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/239_6236,239,851356007485
LA FINCA CHICHARRON GRANDE 5 PC 24/4.06 OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/240_6237,240,851356007492
LA FINCA CHICHARRON MINI CUADRO SNACK 24/3.02 OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/238_6234,238,851356007089
LA FINCA CHICHARRON RUEDA 24/3.02 OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/241_6239,241,851356007515
LA FINCA CHICHARRON RUEDA CHILE LIME 24/3.02 OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/237_6233,237,851356007072
LA FINCA CHICHARRON SANCOCHITOS 12/3oz,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/219_6112,219,810118992865
LA FINCA CHICHARRON SANCOCHITOS CON CHILE 12/3 oz,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/220_6113,220,810118992872
LA FINCA CHILE PICANTE TIPO OLANCHO CJ 12/ (480ML) 1/16.09OZ,Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/114_5510,114,810118991219
LA FINCA COBERTURA DE CHOCOLATE 24/375 GR,Dulces,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/224_6191,224,7411002574247
LA FINCA CONCHAS 1/10 OZ CJ 10,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/121_5534,121,851356007607
LA FINCA COTIJA POLVO 1/16 OZ CJ 12,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/186_8199,186,851356007997
